Date,Open,High,Low,Close,Volume,Market Cap
"Jul 16, 2020","9,191.98","9,214.31","9,088.95","9,132.23","15,713,967,523","168,350,501,976"
"Jul 15, 2020","9,241.90","9,275.33","9,171.93","9,192.84","15,844,731,575","169,460,074,576"
"Jul 14, 2020","9,238.70","9,283.84","9,171.66","9,243.21","18,085,038,362","170,380,670,525"
"Jul 13, 2020","9,277.20","9,306.40","9,224.29","9,243.61","17,519,821,266","170,379,677,119"
"Jul 12, 2020","9,241.06","9,319.42","9,197.45","9,276.50","14,452,361,907","170,977,422,928"
"Jul 11, 2020","9,277.51","9,293.53","9,199.49","9,240.35","13,249,910,444","170,302,234,778"
"Jul 10, 2020","9,273.36","9,287.47","9,118.00","9,278.81","16,860,035,605","171,001,933,827"
"Jul 09, 2020","9,427.99","9,431.38","9,235.00","9,277.97","18,000,702,524","170,977,231,638"
"Jul 08, 2020","9,253.02","9,450.34","9,249.50","9,428.33","19,702,359,883","173,738,543,115"
"Jul 07, 2020","9,349.16","9,360.62","9,201.82","9,252.28","13,839,652,595","170,485,472,276"
"Jul 06, 2020","9,072.85","9,375.47","9,058.66","9,375.47","17,889,263,252","172,746,103,840"
"Jul 05, 2020","9,126.09","9,162.18","8,977.02","9,073.94","12,903,406,143","167,181,726,154"
"Jul 04, 2020","9,084.23","9,183.30","9,053.63","9,132.49","12,290,528,515","168,251,076,678"
